variable,public_question,question_or_field_description,measurement_level,response_coding
respondent_id,Public identifier,New public ID; does not encode the source timestamp or an internal participant ID,identifier,"P001, P002, ..."
completion_time_seconds,Completion time,Source completion duration converted to seconds,numeric duration,seconds
q01_original_q02_rules_understanding,Q01,Original Q2.1: I completely understood the rules of the metacognitive task.,5-point self-report,Strongly matches; Somewhat matches; Neutral; Somewhat does not match; Strongly does not match
q02_original_q02_task_engagement,Q02,Original Q2.2: I was very serious while performing the task.,5-point self-report,Strongly matches; Somewhat matches; Neutral; Somewhat does not match; Strongly does not match
q03_original_q02_non_target_ball_attention,Q03,"Original Q2.3: During the task, I often noticed the non-target ball.",5-point self-report,Strongly matches; Somewhat matches; Neutral; Somewhat does not match; Strongly does not match
q04_original_q02_ball_size_attention,Q04,"Original Q2.4: During the task, I often noticed the size relationship between the two balls.",5-point self-report,Strongly matches; Somewhat matches; Neutral; Somewhat does not match; Strongly does not match
q05_original_q03_harder_condition,Q05,"Original Q3: During the metacognitive task, which condition did you find more difficult?",binary categorical,Gravity; Zero gravity
q06_original_q04_response_strategy,Q06,"Original Q4: During the metacognitive task, which response strategy did you tend to use?",binary categorical,Answer quickly but risk errors; Take more time to ensure accuracy
q07_original_q13_gravity_understanding,Q07,Original Q13: Which option best matches your main understanding when completing the gravity task?,single-choice categorical,"3D motion after collision with downward gravitational acceleration; downward gravity should be considered; 2D plane motion after collision, like billiards; 3D motion after collision under zero or microgravity; downward gravity need not be considered; Abstract motion unrelated to a physical scene"
q08_original_q14_zero_gravity_understanding,Q08,Original Q14: Which option best matches your main understanding when completing the zero-gravity task?,single-choice categorical,"3D motion after collision with downward gravitational acceleration; downward gravity should be considered; 2D plane motion after collision, like billiards; 3D motion after collision under zero or microgravity; downward gravity need not be considered; Abstract motion unrelated to a physical scene"
q09_original_q15_judgment_basis,Q09,Original Q15: What was your main basis for distinguishing the two conditions?,multi-select categorical,Pipe-separated English labels; source selection order retained
q10_original_q16_perceived_motion,Q10,"Original Q16: Based only on the motion you actually saw, which description best matches your experience?",single-choice categorical,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not; I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity; I did not clearly perceive different motion rules between the two conditions; I thought the balls in both conditions were affected by gravity; I thought the balls in neither condition were affected by gravity; Other: I felt that zero gravity was only the gravity condition flipped vertically; in other words, zero gravity felt more like upward gravity"
q11_original_q17_post_confidence_adjustment,Q11,"Original Q17: After each confidence rating, did you adjust your subsequent judgment strategy based on it?",5-point frequency,Never; Rarely; Sometimes; Often; Almost every time
q12_original_q18_confidence_seriousness,Q12,"Original Q18: When making each confidence rating, did you answer seriously?",5-point frequency,Never; Rarely; Sometimes; Often; Almost every time
