subject,condition,n_rows,n_valid,n_correct,n_error,n_confidence,n_conf_correct,n_conf_error,condition_behavior_pass,condition_auc_pass,behavior_included,auc_included,conditions
202511171004,gravity,36,35,18,17,35,18,17,True,True,True,True,2
202511171004,zero_gravity,36,36,19,17,36,19,17,True,True,True,True,2
202511171621,gravity,36,36,32,4,36,32,4,True,True,True,True,2
202511171621,zero_gravity,36,36,31,5,36,31,5,True,True,True,True,2
202511181005,gravity,36,35,31,4,35,31,4,True,True,True,True,2
202511181005,zero_gravity,36,36,23,13,36,23,13,True,True,True,True,2
202511181030,gravity,36,34,22,12,34,22,12,True,True,True,True,2
202511181030,zero_gravity,36,35,23,12,35,23,12,True,True,True,True,2
202511181442,gravity,36,36,33,3,36,33,3,True,True,True,True,2
202511181442,zero_gravity,36,36,30,6,34,28,6,True,True,True,True,2
202511181445,gravity,36,34,24,10,34,24,10,True,True,True,True,2
202511181445,zero_gravity,36,35,28,7,35,28,7,True,True,True,True,2
202511181455,gravity,36,35,24,11,35,24,11,True,True,True,True,2
202511181455,zero_gravity,36,36,16,20,36,16,20,True,True,True,True,2
202511181644,gravity,36,35,22,13,35,22,13,True,True,True,True,2
202511181644,zero_gravity,36,36,20,16,36,20,16,True,True,True,True,2
202511181645,gravity,36,34,17,17,34,17,17,True,True,True,True,2
202511181645,zero_gravity,36,35,22,13,34,21,13,True,True,True,True,2
202511190941,gravity,36,34,30,4,34,30,4,True,True,True,True,2
202511190941,zero_gravity,36,36,30,6,36,30,6,True,True,True,True,2
202511191004,gravity,36,34,31,3,34,31,3,True,True,True,True,2
202511191004,zero_gravity,36,36,32,4,36,32,4,True,True,True,True,2
202511191420,gravity,36,35,34,1,35,34,1,False,False,False,False,2
202511191420,zero_gravity,36,36,33,3,36,33,3,True,True,False,False,2
202511191423,gravity,36,35,34,1,35,34,1,False,False,False,False,2
202511191423,zero_gravity,36,36,20,16,36,20,16,True,True,False,False,2
202511191614,gravity,36,33,26,7,33,26,7,True,True,True,True,2
202511191614,zero_gravity,36,34,23,11,34,23,11,True,True,True,True,2
202511191626,gravity,36,36,31,5,35,30,5,True,True,True,True,2
202511191626,zero_gravity,36,35,28,7,35,28,7,True,True,True,True,2
202511200929,gravity,36,36,34,2,36,34,2,False,False,False,False,2
202511200929,zero_gravity,36,36,22,14,36,22,14,True,True,False,False,2
202511201004,gravity,36,36,9,27,36,9,27,True,True,True,True,2
202511201004,zero_gravity,36,35,26,9,33,24,9,True,True,True,True,2
202511201020,gravity,36,36,28,8,36,28,8,True,True,True,True,2
202511201020,zero_gravity,36,36,27,9,36,27,9,True,True,True,True,2
202511201417,gravity,36,36,22,14,36,22,14,True,True,True,True,2
202511201417,zero_gravity,36,36,24,12,36,24,12,True,True,True,True,2
202511201419,gravity,36,34,27,7,34,27,7,True,True,True,True,2
202511201419,zero_gravity,36,36,20,16,36,20,16,True,True,True,True,2
202511201440,gravity,36,33,26,7,33,26,7,True,True,True,True,2
202511201440,zero_gravity,36,36,24,12,36,24,12,True,True,True,True,2
202511201634,gravity,36,32,15,17,31,14,17,True,True,True,True,2
202511201634,zero_gravity,36,34,13,21,33,13,20,True,True,True,True,2
202511201635,gravity,36,36,33,3,36,33,3,True,True,True,True,2
202511201635,zero_gravity,36,35,27,8,35,27,8,True,True,True,True,2
202511201640,gravity,36,35,21,14,35,21,14,True,True,True,True,2
202511201640,zero_gravity,36,36,22,14,36,22,14,True,True,True,True,2
202511210958,gravity,36,34,27,7,29,24,5,True,True,True,True,2
202511210958,zero_gravity,36,36,28,8,32,25,7,True,True,True,True,2
202511211007,gravity,36,35,20,15,35,20,15,True,True,True,True,2
202511211007,zero_gravity,36,35,16,19,35,16,19,True,True,True,True,2
202511211421,gravity,36,35,20,15,34,20,14,True,True,True,True,2
202511211421,zero_gravity,36,36,22,14,36,22,14,True,True,True,True,2
202511211426,gravity,36,34,17,17,32,15,17,True,True,True,True,2
202511211426,zero_gravity,36,33,18,15,31,18,13,True,True,True,True,2
202511211457,gravity,36,34,33,1,34,33,1,False,False,False,False,2
202511211457,zero_gravity,36,36,32,4,36,32,4,True,True,False,False,2
202511211610,gravity,36,36,24,12,36,24,12,True,True,True,True,2
202511211610,zero_gravity,36,36,28,8,36,28,8,True,True,True,True,2
202511211621,gravity,36,35,30,5,35,30,5,True,True,True,True,2
202511211621,zero_gravity,36,35,24,11,35,24,11,True,True,True,True,2
202511241029,gravity,36,32,19,13,32,19,13,True,True,True,True,2
202511241029,zero_gravity,36,35,21,14,35,21,14,True,True,True,True,2
202511241622,gravity,36,35,21,14,35,21,14,True,True,True,True,2
202511241622,zero_gravity,36,36,28,8,36,28,8,True,True,True,True,2
202511241649,gravity,36,35,17,18,35,17,18,True,True,True,True,2
202511241649,zero_gravity,36,36,23,13,36,23,13,True,True,True,True,2
202511250951,gravity,36,36,32,4,36,32,4,True,True,True,True,2
202511250951,zero_gravity,36,35,28,7,35,28,7,True,True,True,True,2
202511250957,gravity,36,36,32,4,35,31,4,True,True,True,True,2
202511250957,zero_gravity,36,36,25,11,36,25,11,True,True,True,True,2
202511251431,gravity,36,31,27,4,30,27,3,True,True,True,True,2
202511251431,zero_gravity,36,33,18,15,32,17,15,True,True,True,True,2
202511251439,gravity,36,36,22,14,36,22,14,True,True,True,True,2
202511251439,zero_gravity,36,36,19,17,36,19,17,True,True,True,True,2
202511251628,gravity,36,17,15,2,17,15,2,False,False,False,False,2
202511251628,zero_gravity,36,30,22,8,29,21,8,True,True,False,False,2
202511251659,gravity,36,34,20,14,34,20,14,True,True,True,True,2
202511251659,zero_gravity,36,36,20,16,36,20,16,True,True,True,True,2
202511260959,gravity,36,35,14,21,34,14,20,True,True,True,True,2
202511260959,zero_gravity,36,36,13,23,36,13,23,True,True,True,True,2
202511261442,gravity,36,36,24,12,35,24,11,True,True,True,True,2
202511261442,zero_gravity,36,36,18,18,36,18,18,True,True,True,True,2
202511261447,gravity,36,34,21,13,34,21,13,True,True,True,True,2
202511261447,zero_gravity,36,35,25,10,35,25,10,True,True,True,True,2
202511261624,gravity,36,36,24,12,36,24,12,True,True,True,True,2
202511261624,zero_gravity,36,36,16,20,36,16,20,True,True,True,True,2
202511261626,gravity,36,36,31,5,36,31,5,True,True,True,True,2
202511261626,zero_gravity,36,36,32,4,36,32,4,True,True,True,True,2
202511261627,gravity,36,36,26,10,36,26,10,True,True,True,True,2
202511261627,zero_gravity,36,36,13,23,36,13,23,True,True,True,True,2
202511271030,gravity,36,36,20,16,36,20,16,True,True,True,True,2
202511271030,zero_gravity,36,35,26,9,35,26,9,True,True,True,True,2
202511271033,gravity,36,35,18,17,35,18,17,True,True,True,True,2
202511271033,zero_gravity,36,34,17,17,34,17,17,True,True,True,True,2
202511271431,gravity,36,35,15,20,35,15,20,True,True,True,True,2
202511271431,zero_gravity,36,36,21,15,36,21,15,True,True,True,True,2
202511271434,gravity,36,36,26,10,36,26,10,True,True,True,True,2
202511271434,zero_gravity,36,36,25,11,36,25,11,True,True,True,True,2
202511271621,gravity,36,35,35,0,35,35,0,False,False,False,False,2
202511271621,zero_gravity,36,36,32,4,36,32,4,True,True,False,False,2
202511271638,gravity,36,36,26,10,35,25,10,True,True,True,True,2
202511271638,zero_gravity,36,36,24,12,36,24,12,True,True,True,True,2
202511281023,gravity,36,36,18,18,35,17,18,True,True,True,True,2
202511281023,zero_gravity,36,36,15,21,36,15,21,True,True,True,True,2
202511281031,gravity,36,35,17,18,34,16,18,True,True,True,True,2
202511281031,zero_gravity,36,34,20,14,34,20,14,True,True,True,True,2
202511281419,gravity,36,36,22,14,36,22,14,True,True,True,True,2
202511281419,zero_gravity,36,36,22,14,36,22,14,True,True,True,True,2
202511281437,gravity,36,36,32,4,36,32,4,True,True,True,True,2
202511281437,zero_gravity,36,35,13,22,35,13,22,True,True,True,True,2
202511281438,gravity,36,35,24,11,35,24,11,True,True,True,True,2
202511281438,zero_gravity,36,36,21,15,35,20,15,True,True,True,True,2
202511281621,gravity,36,34,27,7,34,27,7,True,True,True,True,2
202511281621,zero_gravity,36,36,30,6,36,30,6,True,True,True,True,2
202511281630,gravity,36,34,31,3,34,31,3,True,True,True,True,2
202511281630,zero_gravity,36,36,22,14,36,22,14,True,True,True,True,2
202511281636,gravity,36,36,22,14,36,22,14,True,True,True,True,2
202511281636,zero_gravity,36,35,19,16,35,19,16,True,True,True,True,2
202512011416,gravity,36,36,34,2,36,34,2,False,False,False,False,2
202512011416,zero_gravity,36,36,28,8,35,27,8,True,True,False,False,2
202512011436,gravity,36,36,19,17,36,19,17,True,True,True,True,2
202512011436,zero_gravity,36,36,27,9,35,26,9,True,True,True,True,2
202512011444,gravity,36,35,20,15,35,20,15,True,True,True,True,2
202512011444,zero_gravity,36,35,21,14,34,20,14,True,True,True,True,2
202512011612,gravity,36,35,35,0,35,35,0,False,False,False,False,2
202512011612,zero_gravity,36,34,18,16,34,18,16,True,True,False,False,2
202512011629,gravity,36,35,20,15,35,20,15,True,True,True,True,2
202512011629,zero_gravity,36,36,22,14,36,22,14,True,True,True,True,2
202512021035,gravity,36,35,32,3,35,32,3,True,True,True,True,2
202512021035,zero_gravity,36,36,30,6,36,30,6,True,True,True,True,2
202512021459,gravity,36,35,27,8,35,27,8,True,True,True,True,2
202512021459,zero_gravity,36,36,28,8,36,28,8,True,True,True,True,2
202512021644,gravity,36,25,17,8,25,17,8,True,True,True,True,2
202512021644,zero_gravity,36,36,19,17,36,19,17,True,True,True,True,2
202512021645,gravity,36,35,28,7,35,28,7,True,True,True,True,2
202512021645,zero_gravity,36,36,22,14,36,22,14,True,True,True,True,2
202512030944,gravity,36,36,16,20,36,16,20,True,True,True,True,2
202512030944,zero_gravity,36,36,20,16,36,20,16,True,True,True,True,2
